stage,specimen,part_a,part_b,direction,n_query_vertices,num_penetrating,max_depth,mean_depth_among_penetrating
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,mandible,antenna,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,mandible,antenna,B_into_A,362,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,mandible,thorax,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,mandible,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,mandible,gaster,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,mandible,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,mandible,legs,A_into_B,379,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,mandible,legs,B_into_A,4705,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,antenna,thorax,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,antenna,thorax,B_into_A,1379,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,antenna,gaster,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,antenna,gaster,B_into_A,1231,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,antenna,legs,A_into_B,362,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,antenna,legs,B_into_A,4705,0.0,0.0,0.0
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,gaster,legs,A_into_B,1231,30.0,0.07210233807563782,0.03491266444325447
Stage_3_deform_fine,Acromyrmex_lobicornis_CASENT0878007_processed.obj,gaster,legs,B_into_A,4705,53.0,0.07767025381326675,0.03193662688136101
